X, Y, Pressure, TiltX, TiltY, Time
694.83,468.033333333333,0.47265625,9000,9000,00:01.5760129
694.83,467.78,0.58203125,9000,9000,00:01.5914715
694.545,467.78,0.671875,9000,9000,00:01.6071705
694.26,467.526666666667,0.751953125,9000,9000,00:01.6226680
694.4025,467.526666666667,0.8154296875,9000,9000,00:01.6383427
694.6875,467.4,0.8623046875,9000,9000,00:01.6537838
693.975,466.893333333333,0.888671875,9000,9000,00:01.6694144
693.405,466.513333333333,0.908203125,9000,9000,00:01.6694144
693.405,466.386666666667,0.9140625,9000,9000,00:01.6849853
693.5475,466.386666666667,0.927734375,9000,9000,00:01.7007808
694.1175,466.26,0.9404296875,9000,9000,00:01.7007808
694.26,466.133333333333,0.943359375,9000,9000,00:01.7164888
694.26,465.88,0.953125,9000,9000,00:01.7164888
694.26,465.753333333333,0.95703125,9000,9000,00:01.7321494
694.545,465.5,0.9638671875,9000,9000,00:01.7321494
694.9725,465.5,0.966796875,9000,9000,00:01.7477777
695.2575,465.246666666667,0.974609375,9000,9000,00:01.7477777
695.5425,465.246666666667,0.9775390625,9000,9000,00:01.7634418
695.5425,464.993333333333,0.9814453125,9000,9000,00:01.7634418
695.5425,464.74,0.9833984375,9000,9000,00:01.7791362
695.685,464.613333333333,0.9814453125,9000,9000,00:01.7791362
695.97,464.613333333333,0.98046875,9000,9000,00:01.7944068
696.255,464.486666666667,0.9755859375,9000,9000,00:01.7944068
696.54,464.486666666667,0.9736328125,9000,9000,00:01.8100112
696.9675,464.36,0.974609375,9000,9000,00:01.8100112
697.395,464.486666666667,0.9755859375,9000,9000,00:01.8255794
697.965,464.486666666667,0.978515625,9000,9000,00:01.8255794
698.535,464.486666666667,0.9794921875,9000,9000,00:01.8412006
698.9625,464.36,0.982421875,9000,9000,00:01.8412006
699.5325,464.486666666667,0.9833984375,9000,9000,00:01.8568218
699.8175,464.36,0.9814453125,9000,9000,00:01.8880654
700.6725,463.853333333333,0.986328125,9000,9000,00:01.8880654
701.385,463.98,0.98828125,9000,9000,00:01.9037496
702.81,464.106666666667,0.990234375,9000,9000,00:01.9193042
703.38,464.106666666667,0.9912109375,9000,9000,00:01.9193042
703.8075,464.106666666667,0.99609375,9000,9000,00:01.9349970
704.9475,464.486666666667,0.9990234375,9000,9000,00:01.9505872
706.0875,464.613333333333,1,9000,9000,00:01.9817896
707.37,464.486666666667,0.9970703125,9000,9000,00:01.9817896
708.225,464.486666666667,0.99609375,9000,9000,00:01.9817896
